Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780521742,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780521743,25,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780521744,50,,Aggregated,0.000000,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1,1,1924.2599999997765,1924.2599999997765,1924.2599999997765,1924.2599999997765,154.0
1780521745,100,,Aggregated,0.000000,0.000000,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2,2,1924.2599999997765,2426.1279499987722,1924.2599999997765,2927.995899997768,154.0
1780521746,125,,Aggregated,0.000000,0.000000,2900,2900,3800,3800,3800,3800,3800,3800,3800,3800,3800,3,3,2900,2899.2929333326174,1924.2599999997765,3845.6229000003077,154.0
1780521747,150,,Aggregated,0.333333,0.333333,3800,4200,4200,4800,4800,4800,4800,4800,4800,4800,4800,5,4,3800,3551.2315799991484,1924.2599999997765,4845.506099998602,17989.8
1780521748,175,,Aggregated,0.333333,0.333333,3800,4200,4200,4800,4800,4800,4800,4800,4800,4800,4800,5,4,3800,3551.2315799991484,1924.2599999997765,4845.506099998602,17989.8
1780521749,200,,Aggregated,0.800000,0.600000,4200,4200,4800,4800,6900,6900,6900,6900,6900,6900,6900,6,4,3800,4111.279699999916,1924.2599999997765,6911.520300003758,15251.0
1780521750,200,,Aggregated,0.833333,0.666667,4800,6900,7700,7700,7900,7900,7900,7900,7900,7900,7900,8,5,4200,5023.240175000865,1924.2599999997765,7863.311500004784,11656.5
1780521751,200,,Aggregated,0.833333,0.666667,4800,6900,7700,7900,8700,8700,8700,8700,8700,8700,8700,9,6,4800,5433.728011112382,1924.2599999997765,8717.63070000452,10378.444444444445
1780521752,200,,Aggregated,0.714286,0.571429,6900,7700,7900,8700,9500,9500,9500,9500,9500,9500,9500,10,7,4800,5843.852200001129,1924.2599999997765,9534.96989999985,9356.0
1780521753,200,,Aggregated,1.000000,0.666667,7700,7900,9500,9500,11000,11000,11000,11000,11000,11000,11000,12,8,6900,6672.291200001079,1924.2599999997765,11065.171800000826,18574.666666666668
1780521754,200,,Aggregated,1.000000,0.700000,7700,8700,9500,11000,11000,12000,12000,12000,12000,12000,12000,13,8,7700,7081.023630770058,1924.2599999997765,11985.812799997802,17146.76923076923
1780521755,200,,Aggregated,1.100000,0.800000,7900,9500,11000,11000,12000,13000,13000,13000,13000,13000,13000,14,9,7700,7491.957307143561,1924.2599999997765,12834.095099999104,15933.0
1780521756,200,,Aggregated,1.200000,0.800000,7900,9500,11000,12000,13000,14000,14000,14000,14000,14000,14000,15,9,7900,7926.855020000464,1924.2599999997765,14015.4229999971,24968.066666666666
1780521757,200,,Aggregated,1.200000,0.700000,8700,11000,12000,12000,14000,15000,15000,15000,15000,15000,15000,16,10,7900,8354.61587500049,1924.2599999997765,14771.028700000898,23417.1875
1780521758,200,,Aggregated,1.200000,0.700000,9500,11000,13000,14000,16000,16000,16000,16000,16000,16000,16000,18,11,8700,9169.804638889522,1924.2599999997765,15729.205900002853,21030.944444444445
1780521759,200,,Aggregated,1.200000,0.700000,9500,12000,14000,15000,16000,17000,17000,17000,17000,17000,17000,19,12,9500,9560.011621053012,1924.2599999997765,16583.737299995846,19932.157894736843
1780521760,200,,Aggregated,1.200000,0.700000,9500,12000,14000,15000,16000,17000,17000,17000,17000,17000,17000,19,12,9500,9560.011621053012,1924.2599999997765,16583.737299995846,19932.157894736843
1780521761,200,,Aggregated,1.200000,0.600000,11000,13000,15000,16000,17000,18000,18000,18000,18000,18000,18000,20,12,9500,10006.617895000454,1924.2599999997765,18492.137100001855,19012.7
1780521762,200,,Aggregated,1.200000,0.800000,11000,14000,16000,16000,18000,19000,20000,20000,20000,20000,20000,22,13,11000,10886.446004545922,1924.2599999997765,19870.029700003215,21125.272727272728
1780521763,200,,Aggregated,1.200000,0.800000,11000,15000,16000,17000,19000,20000,20000,20000,20000,20000,20000,23,14,11000,11267.045056522044,1924.2599999997765,19870.029700003215,20213.478260869564
1780521764,200,,Aggregated,1.100000,0.600000,12000,16000,17000,19000,20000,20000,22000,22000,22000,22000,22000,25,16,12000,12044.388652000634,1924.2599999997765,21508.614700003818,18608.72
1780521765,200,,Aggregated,1.100000,0.600000,12000,16000,17000,19000,20000,20000,22000,22000,22000,22000,22000,25,16,12000,12044.388652000634,1924.2599999997765,21508.614700003818,18608.72
1780521766,200,,Aggregated,1.200000,0.600000,13000,16000,18000,19000,20000,22000,22000,22000,22000,22000,22000,26,16,12000,12445.590611539115,1924.2599999997765,22475.63960000116,19598.0
1780521767,200,,Aggregated,1.200000,0.800000,14000,17000,20000,20000,22000,23000,24000,24000,24000,24000,24000,28,17,13000,13256.723857143568,1924.2599999997765,24258.128100002068,20006.464285714286
1780521768,200,,Aggregated,1.200000,0.700000,15000,18000,20000,22000,24000,25000,25000,25000,25000,25000,25000,30,18,14000,14055.437380000998,1924.2599999997765,25237.767700004042,18729.366666666665
1780521769,200,,Aggregated,1.200000,0.700000,15000,19000,20000,22000,24000,25000,26000,26000,26000,26000,26000,31,19,15000,14447.870809678505,1924.2599999997765,26220.87370000372,18130.16129032258
1780521770,200,,Aggregated,1.100000,0.700000,16000,20000,22000,22000,25000,26000,27000,27000,27000,27000,27000,32,20,15000,14844.160028125998,1924.2599999997765,27129.12579999829,17568.40625
1780521771,200,,Aggregated,1.100000,0.700000,16000,20000,22000,22000,25000,26000,27000,27000,27000,27000,27000,32,20,15000,14844.160028125998,1924.2599999997765,27129.12579999829,17568.40625
1780521772,200,,Aggregated,1.100000,0.600000,16000,20000,22000,23000,25000,27000,29000,29000,29000,29000,29000,33,20,16000,15260.284900000966,1924.2599999997765,28576.28079999995,21048.696969696968
1780521773,200,,Aggregated,1.200000,0.700000,16000,20000,22000,24000,26000,29000,29000,29000,29000,29000,29000,34,21,16000,15674.01688823627,1924.2599999997765,29327.172500001325,20434.147058823528
1780521774,200,,Aggregated,1.200000,0.700000,16000,20000,23000,25000,27000,29000,31000,31000,31000,31000,31000,35,21,16000,16107.677440000823,1924.2599999997765,30852.136199995584,24024.685714285715
1780521775,200,,Aggregated,1.100000,0.700000,17000,22000,24000,25000,29000,32000,32000,32000,32000,32000,32000,37,22,17000,16958.645354054763,1924.2599999997765,32129.736999995657,22772.324324324323
1780521776,200,,Aggregated,1.100000,0.700000,17000,22000,24000,25000,29000,32000,32000,32000,32000,32000,32000,37,22,17000,16958.645354054763,1924.2599999997765,32129.736999995657,22772.324324324323
1780521777,200,,Aggregated,1.100000,0.700000,17000,22000,24000,25000,29000,32000,32000,32000,32000,32000,32000,37,22,17000,16958.645354054763,1924.2599999997765,32129.736999995657,22772.324324324323
